name,area,population
Amazonas,39249,417365
Ancash,35826,1139115
Apurímac,20896,424259
Arequipa,63345,1460433
Ayacucho,43814,650940
Cajamarca,33247,1427527
Callao,147,1046953
Cusco,71892,1315220	
Huancavelica,22131,367252
Huánuco,36938,759962	
Ica,21328,893292
Junín,44410,1316894
La Libertad,25570,1888972
Lambayeque,14231,1244821
Lima,32129,972687
Lima Province,2672,9162322
Loreto,368852,981897
Madre de Dios,85183,161204
Moquegua,15734,182017
Pasco,25320,272136
Piura,35892,1929970
Puno,71999,1226936
San Martín,51253,862459
Tacna,16076,349056
Tumbes,4669,234698
Ucayali,102411,548998